CT,ID
24.124,172_1_1
22.827,172_1_2
22.741,172_1_2
24.442,172_1_3
24.434,172_1_3
22.656,173_1_1
23.057,173_1_1
24.784,173_1_2
22.53,173_1_2
24.959,173_1_3
25.02,173_1_3
23.97,174_1_1
24.205,174_1_1
21.005,174_1_2
21.591,174_1_2
24.655,174_1_3
24.671,174_1_3
24.213,175_1_1
24.701,175_1_1
24.242,175_1_2
23.886,175_1_2
25.025,175_1_3
25.225,175_1_3
24.655,176_1_1
24.774,176_1_1
24.855,176_1_2
24.576,176_1_2
24.649,176_1_3
24.475,176_1_3
25.972,177_1_1
25.864,177_1_1
22.67,177_1_2
22.808,177_1_2
23.915,177_1_3
24.186,177_1_3
22.545,178_1_1
22.785,178_1_1
25.798,178_1_2
25.586,178_1_2
20.344,178_1_3
21.269,178_1_3
20.919,179_1_1
20.99,179_1_1
25.599,179_1_2
25.641,179_1_2
23.188,179_1_3
23.539,179_1_3
23.51,18_1_1
23.922,18_1_1
21.35,18_1_2
21.685,18_1_2
16.237,18_1_3
16.035,18_1_3
25.515,180_1_1
25.594,180_1_1
22.443,180_1_2
22.431,180_1_2
22.162,180_1_3
22.311,180_1_3
15.462,181_1_1
15.264,181_1_1
13.095,181_1_2
13.156,181_1_2
17.103,181_1_3
17.694,181_1_3
18.772,182_1_1
18.783,182_1_1
21.517,182_1_2
21.392,182_1_2
22.333,182_1_3
22.465,182_1_3
20.304,183_1_1
20.13,183_1_1
24.625,183_1_2
24.546,183_1_2
26.649,183_1_3
26.244,183_1_3
22.761,184_1_1
23.089,184_1_1
22.79,184_1_2
22.922,184_1_2
21.697,184_1_3
21.964,184_1_3
19.813,185_1_1
20.032,185_1_1
16.507,185_1_2
16.41,185_1_2
24.024,185_1_3
24.337,185_1_3
19.01,186_1_1
19.32,186_1_1
17.335,186_1_2
17.3,186_1_2
18.074,186_1_3
17.756,186_1_3
21.366,187_1_1
21.029,187_1_1
15.857,187_1_2
16.952,187_1_2
26.662,187_1_3
26.723,187_1_3
22.501,188_1_1
22.682,188_1_1
16.364,188_1_2
16.19,188_1_2
15.013,188_1_3
14.931,188_1_3
21.671,189_1_1
21.16,189_1_1
16.073,189_1_2
15.594,189_1_2
23.95,189_1_3
24.236,189_1_3
24.41,19_1_1
24.661,19_1_1
24.055,19_1_2
24.194,19_1_2
22.722,19_1_3
22.767,19_1_3
22.369,190_1_1
22.644,190_1_1
23.464,190_1_2
23.185,190_1_2
25.168,190_1_3
24.965,190_1_3
20.445,191_1_1
20.794,191_1_1
21.706,191_1_2
22.072,191_1_2
23.999,191_1_3
23.685,191_1_3
22.915,192_1_1
23.253,192_1_1
21.944,192_1_2
21.831,192_1_2
24.633,192_1_3
25.447,192_1_3
21.564,193_1_1
21.148,193_1_1
18.714,193_1_2
18.72,193_1_2
26.679,193_1_3
25.798,193_1_3
22.79,194_1_1
22.877,194_1_1
20.532,194_1_2
20.603,194_1_2
18.844,194_1_3
18.72,194_1_3
21.377,195_1_1
21.16,195_1_1
24.513,195_1_2
25.03,195_1_2
23.34,195_1_3
23.437,195_1_3
24.446,196_1_1
24.652,196_1_1
19.816,196_1_2
18.008,196_1_2
26.233,196_1_3
26.269,196_1_3
23.948,197_1_1
23.764,197_1_1
23.438,197_1_2
23.374,197_1_2
25.188,197_1_3
25.015,197_1_3
24.137,198_1_1
24.318,198_1_1
24.344,198_1_2
24.301,198_1_2
23.796,198_1_3
23.761,198_1_3
24.213,199_1_1
24.113,199_1_1
21.83,199_1_2
21.859,199_1_2
23.394,199_1_3
23.175,199_1_3
24.722,2_1_1
24.289,2_1_1
14.457,2_1_2
15.024,2_1_2
14.766,2_1_3
14.568,2_1_3
22.895,20_1_1
